business_id,name,latitude,longitude,categories
200706,PANIFICADORA SAO FERNANDO LTDA,-23.62576,-46.624213,PADARIA
200771,FILOMENA PARENTE CAMMAROTA ME,-23.626685,-46.620817,PADARIA
200777,PANIFICADORA DOTTI LTDA EPP,-23.63529,-46.619933,PADARIA
200808,BOM REAL DIST. DE COMESTIVEIS LTDA,-23.636392,-46.617469,PADARIA
200890,PANIFICADORA NOVA ZELANDIA LTDA,-23.634571,-46.615293,PADARIA
200957,ANTONIO LOPES DE FARIA,-23.631055,-46.620397,PADARIA
201025,PANIFICADORA E CONF.NOVA PORTUGUESA LTDA,-23.631678,-46.61683,PADARIA
201283,CLARISSIO MOREIRA DE MATOS MICROPADARIA ME,-23.628278,-46.618576,"PADARIA,MICROPADARIA"
201284,PANIFICADORA CURSINO LTDA,-23.628278,-46.618576,PADARIA
201679,BAMBINOS ROTISSERIE LTDA - ME,-23.65311,-46.612033,"ROTISSERIE,PADARIA"
201699,PAES E DOCES PONTO CHIC LTDA,-23.653238,-46.610674,"CONFEITARIA,PADARIA"
201716,PAES E DOCES JULAINE LTDA,-23.651613,-46.611178,"CONFEITARIA,PADARIA"
201777,AUGUSTO RODRIGUES GARCIA ME,-23.650999,-46.605884,PADARIA
201807,N.B. DE OLIVEIRA LATICINIOS ME,-23.6465,-46.610895,"LATICINIO,PADARIA"
201873,CONVENIENCIA BRISTOL LTDA,-23.645859,-46.609133,"CONVENIENCIA,PADARIA"
201902,ARLETE MARIA MERCEARIA - ME,-23.649938,-46.607801,"MERCEARIA,PADARIA"
201985,ADEMARCIA LUIZA DA SILVA-ME,-23.645394,-46.607801,PADARIA
202103,BA CER PAES E DOCES LTDA ME,-23.651994,-46.598522,"CONFEITARIA,PADARIA"
202217,PANIFICADORA VILA LIVIEIRO LTDA,-23.648282,-46.596234,PADARIA
202299,EDUARDO DA CONCEICAO AZEVEDO ME,-23.639793,-46.61074,PADARIA
202300,RICARDO CESAR ANDRADE AZEVEDO ME,-23.639793,-46.61074,PADARIA
202301,LUIS CLAUDIO ANDRADE AZEVEDO,-23.639793,-46.61074,PADARIA
202382,MINI PADARIA JARDIM BOTUCATU LTDA - ME,-23.636271,-46.608941,PADARIA
202624,LEANDRO COMERCIO DE FRIOS LTDA ME,-23.634775,-46.605755,"COMERCIO,PADARIA"
202637,TRIGO BOM PAES E DOCES LTDA. - EPP,-23.634496,-46.605403,"CONFEITARIA,PADARIA"
202707,PANIFICADORA S&R LTDA ME,-23.632832,-46.609643,PADARIA
202735,CLEA DA SILVA ARAUJO ME,-23.63034,-46.609049,PADARIA
203046,MAMA-MIA CASA DE FRIOS LTDA. - ME,-23.626046,-46.607856,PADARIA
203057,MILTON ZANATA-ME,-23.625941,-46.607196,PADARIA
203071,PADARIA E CONFEITARIA NOVA FLOR LTDA,-23.628579,-46.605897,"CONFEITARIA,PADARIA"
203093,PAO BOM LTDA,-23.628534,-46.605259,PADARIA
203263,PANIFICADORA FLOR DA SUICA LTDA-EPP,-23.640519,-46.600055,PADARIA
203292,MERCEARIA BOCADINHO LTDA-ME,-23.639291,-46.599744,"MERCEARIA,PADARIA"
203467,LATICINIOS TEJEDA LTDA,-23.636974,-46.598128,"LATICINIO,PADARIA"
203551,PANIFICADORA E CONF. NOBRE PAO LTDA.,-23.631249,-46.604074,PADARIA
203603,MARQUESA PAES E DOCES LTDA EPP,-23.626141,-46.603957,"CONFEITARIA,PADARIA"
203671,PANIFICADORA ALMAJO LTDA,-23.628343,-46.601373,PADARIA
203739,ONIX ROTISSERIE LTDA-ME,-23.631351,-46.599982,"ROTISSERIE,PADARIA"
203906,PANIF. E CONFEIT.FLOR DA AGUA FUNDA LTDA,-23.625054,-46.628042,PADARIA
204310,FRIOS E LATICINIOS DINHOS LTDA ME,-23.624911,-46.624065,"LATICINIO,PADARIA"
204339,TRANSLEITE TM DISTRIBUIDORA DE LEITE LTDA ME,-23.622425,-46.623801,"PADARIA,DISTRIBUIDOR"
204726,COMERCIO DE LATICINIOS QUERO QUERO LTDA,-23.610715,-46.628272,"LATICINIO,COMERCIO,PADARIA"
204729,CIRCE BRASIL LTDA,-23.610034,-46.628523,PADARIA
205237,MARIA ALBINA DE JESUS N. RODRIGUES-ME,-23.622847,-46.61775,PADARIA
205250,VALTER DAUERBACH,-23.622984,-46.616769,PADARIA
205281,O.K.COMERCIO DE FRIOS LTDA ME,-23.621541,-46.620214,"COMERCIO,PADARIA"
